Municipality,Number of fillings,Adjusted Gross Income

ADJUNTAS,,3891,,80181130,
LAJAS,5052,111400271
AGUADA,8616,209145465
LARES,5601,128296428
AGUADILLA,12021,350406886
LAS MARIAS,1815,35569096
AGUAS BUENAS,5823,153792057
LAS PIEDRAS,8375,243160506
AIBONITO,6286,168484359
LOIZA,4206,89404673
AÑASCO,6208,157347862
LUQUILLO,4169,121931432
ARECIBO,20530,603492197
MANATI,9075,284346267
ARROYO,3475,83621424
MARICAO,1034,19202863
BARCELONETA,5220,143343858
MAUNABO,2143,47582158
BARRANQUITAS,6331,135907324
MAYAGUEZ,17688,556309314
BAYAMON,58824,1705754514
MOCA,8006,192665520
CABO ROJO,10889,300815663
MOROVIS,6212,153266617
CAGUAS,38606,1285178585
NAGUABO,4818,116166204
CAMUY,6976,177510348
NARANJITO,7105,157080090
CANOVANAS,12767,360566655
OROCOVIS,4601,96441286
CAROLINA,50892,1463656274
PATILLAS,3601,86079456
CATAÑO,5328,128845016
PENUELAS,5029,114844186
CAYEY,11716,332608501
PONCE,37632,1072585960
CEIBA,2743,68270603
QUEBRADILLAS,5472,134177327
CIALES,3745,82264536
RINCON,3201,82092330
CIDRA,9556,268495673
RIO GRANDE,12316,328634630
COAMO,8149,211071853
SABANA GRANDE,5615,138071570
COMERIO,3922,84911143
SALINAS,4407,106580093
COROZAL,8087,181594737
SAN GERMAN,7386,192966185
CULEBRA,480,10433512
SAN JUAN,114612,4914561167
DORADO,9963,855361174
SAN LORENZO,9078,231647063
FAJARDO,8296,214454651
SAN SEBASTIAN,8516,202360065
FLORIDA,2947,66770013
SANTA,ISABEL,4820,133255152
GUANICA,3368,72713242
TOA ALTA,19421,637462544
GUAYAMA,9552,263422168
TOA BAJA,23153,656315546
GUAYANILLA,4195,102590420
TRUJILLO,ALTO,18820,630856810
GUAYNABO,31456,1786848912
UTUADO,5834,131521120
GURABO,11158,442391196
VEGA,ALTA,7904,231855277
HATILLO,7497,210033866
VEGA BAJA,12883,369809020
HORMIGUEROS,4302,108620420
VIEQUES,1783,40088932
HUMACAO,12813,412525996
VILLALBA,5275,124172657
ISABELA,8732,239815089
YABUCOA,6469,156633544
JAYUYA,3383,75506959
YAUCO,9013,222207684
JUANA DIAZ,10668,281214642
OTROS_2,12249,406898968
JUNCOS,9156,250945745
TOTAL,882956,$27829414679